Name,Rating,Reviews,Culture,About
Atos,3.8,(4.5k),Work Life Balance,IT Services & Consulting | Pune +48 other locations
TVS Motor,3.9,(4.5k),"Skill Development / Learning, Job Security, Salary & Benefits",Automobile | Hosur +325 other locations
CBRE,4.1,(4.5k),"Company Culture, Job Security, Skill Development / Learning",Real Estate | Hyderabad / Secunderabad +86 other locations
Nagarro,3.9,(4.5k),"Company Culture, Work Life Balance, Salary & Benefits",IT Services & Consulting | Gurgaon / Gurugram +47 other locations
Persistent Systems,3.6,(4.4k),"Promotions / Appraisal, Job Security, Work Satisfaction",IT Services & Consulting | Pune +41 other locations
Home Credit Finance,4.0,(4.4k),"Work Life Balance, Company Culture, Skill Development / Learning",NBFC | Gurgaon / Gurugram +128 other locations
SBI Life Insurance Company,3.8,(4.4k),Job Security,Insurance | Mumbai +608 other locations
NTT Data,3.8,(4.4k),"Work Life Balance, Job Security",IT Services & Consulting | Bangalore / Bengaluru +72 other locations
Amdocs,3.7,(4.4k),Company Culture,Software Product | Pune +21 other locations
State Bank of India,3.9,(4.3k),"Job Security, Skill Development / Learning, Salary & Benefits",Banking | Mumbai +563 other locations
Schneider Electric,4.1,(4.3k),"Company Culture, Work Life Balance, Job Security",Industrial Automation | Bangalore / Bengaluru +116 other locations
JBM Group,4.0,(4.3k),"Job Security, Skill Development / Learning",Auto Components | Gurgaon / Gurugram +106 other locations
Nagarjuna Construction Company,4.1,(4.3k),"Job Security, Company Culture, Skill Development / Learning",Engineering & Construction | Hyderabad / Secunderabad +266 other locations
Ecom Express,3.9,(4.3k),"Work Life Balance, Salary & Benefits",Logistics | Gurgaon / Gurugram +718 other locations
OPPO,3.9,(4.3k),Skill Development / Learning,Consumer Electronics & Appliances | Greater Noida +394 other locations
Motilal Oswal Financial Services,3.8,(4.2k),Skill Development / Learning,Financial Services | Mumbai +165 other locations
Bosch,4.1,(4.2k),"Company Culture, Work Life Balance, Skill Development / Learning",Auto Components | Bangalore / Bengaluru +117 other locations
Dell,3.9,(4.2k),"Company Culture, Work Life Balance",Consumer Electronics & Appliances | Bangalore / Bengaluru +109 other locations
Hewlett Packard Enterprise,4.1,(4.2k),"Company Culture, Work Life Balance, Job Security",IT Services & Consulting | Bangalore / Bengaluru +97 other locations
Piramal Capital Housing Finance,4.2,(4.2k),"Company Culture, Skill Development / Learning, Salary & Benefits",NBFC | Mumbai +369 other locations
Mahindra Logistics,3.9,(4.1k),Skill Development / Learning,Logistics | Mumbai +229 other locations
KEC International,4.0,(4.1k),"Job Security, Salary & Benefits, Company Culture",Engineering & Construction | Mumbai +296 other locations
ITC Infotech,3.7,(4.1k),"Work Life Balance, Job Security",IT Services & Consulting | Bangalore / Bengaluru +66 other locations
Varun Beverages,4.0,(4k),"Job Security, Salary & Benefits",Beverage | New Delhi +342 other locations
Aditya Birla Fashion and Retail,4.1,(4k),"Job Security, Skill Development / Learning, Company Culture",Fashion & Textile | Bangalore / Bengaluru +269 other locations
Randstad,3.7,(4k),"Promotions / Appraisal, Job Security, Work Satisfaction",Recruitment | Hyderabad / Secunderabad +319 other locations
CARS24,3.5,(4k),"Job Security, Promotions / Appraisal, Company Culture",Internet | Gurgaon / Gurugram +167 other locations
Hyundai Motor India Limited,4.2,(3.9k),"Job Security, Salary & Benefits, Company Culture",Automobile | Chennai +274 other locations
Deutsche Bank,3.9,(3.9k),"Work Life Balance, Job Security, Company Culture",Banking | Pune +42 other locations
L&T Finance,3.8,(3.9k),Salary & Benefits,NBFC | Mumbai +564 other locations
Havells,3.9,(3.9k),"Work Life Balance, Salary & Benefits",Electrical Equipment | Noida +231 other locations
R1 RCM,3.8,(3.9k),"Company Culture, Job Security",BPO | New Delhi +42 other locations
EY Global Delivery Services ( EY GDS),3.5,(3.9k),Job Security,Accounting & Auditing | Bangalore / Bengaluru +50 other locations
Intas Pharmaceuticals,4.1,(3.8k),"Job Security, Salary & Benefits, Work Life Balance",Pharma | Ahmedabad +135 other locations
Bajaj Auto,3.8,(3.8k),Promotions / Appraisal,Automobile | Pune +292 other locations
Team Lease,3.9,(3.8k),Promotions / Appraisal,Recruitment | Bangalore / Bengaluru +371 other locations
Tata AIA Life Insurance,4.0,(3.8k),"Job Security, Skill Development / Learning, Salary & Benefits",Insurance | Mumbai +394 other locations
Hetero,3.9,(3.7k),Job Security,Pharma | Hyderabad / Secunderabad +62 other locations
Access Healthcare,3.9,(3.7k),Job Security,Analytics & KPO | Chennai +45 other locations
Oyo Rooms,3.2,(3.7k),"Job Security, Company Culture, Work Life Balance",Internet | Gurgaon / Gurugram +118 other locations
Macleods Pharmaceuticals,3.6,(3.7k),Job Security,Pharma | Mumbai +116 other locations
Utkarsh Small Finance Bank,3.8,(3.7k),Promotions / Appraisal,Banking | Varanasi +363 other locations
John Deere,4.0,(3.7k),"Company Culture, Work Life Balance, Skill Development / Learning",Industrial Machinery | Pune +142 other locations
Thermax Limited,4.1,(3.7k),"Job Security, Company Culture, Work Life Balance",Industrial Machinery | Pune +228 other locations
Tata Communications,4.0,(3.7k),"Job Security, Work Life Balance, Company Culture",Telecom | Pune +98 other locations
Royal Enfield,4.2,(3.6k),"Work Life Balance, Work Satisfaction, Skill Development / Learning",Automobile | Chennai +353 other locations
Reliance Communications,4.0,(3.6k),"Skill Development / Learning, Company Culture, Work Life Balance",Telecom | Mumbai +456 other locations
LG Electronics,3.9,(3.6k),"Job Security, Skill Development / Learning",Consumer Electronics & Appliances | Pune +283 other locations
Aakash Educational Services,3.3,(3.6k),"Promotions / Appraisal, Work Life Balance, Job Security",Education & Training | New Delhi +233 other locations
VE Commercial Vehicles,3.9,(3.6k),"Job Security, Skill Development / Learning",Automobile | Indore +147 other locations
Lenskart,3.2,(3.6k),"Promotions / Appraisal, Company Culture, Work Life Balance",Internet | New Delhi +222 other locations
HDFC Ergo General Insurance,3.9,(3.6k),"Company Culture, Work Life Balance, Job Security",Insurance | Mumbai +303 other locations
Carelon Global Solutions,3.8,(3.5k),"Company Culture, Work Life Balance, Job Security",Software Product | Bangalore / Bengaluru +17 other locations
DCB Bank,3.8,(3.5k),Work Life Balance,Banking | Mumbai +327 other locations
XpressBees,4.2,(3.5k),"Work Life Balance, Skill Development / Learning, Company Culture",Internet | Pune +461 other locations
Jubilant Foods Works,3.7,(3.5k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Hospitality | New Delhi +238 other locations
Berger Paints,3.7,(3.5k),"Promotions / Appraisal, Company Culture, Work Life Balance",Chemicals | Kolkata +314 other locations
Cummins,4.3,(3.5k),"Company Culture, Work Life Balance, Skill Development / Learning",Industrial Machinery | Pune +107 other locations
Bank of America,4.2,(3.5k),"Job Security, Work Life Balance, Company Culture",Banking | Gurgaon / Gurugram +33 other locations
Publicis Sapient,3.5,(3.5k),"Promotions / Appraisal, Job Security, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +44 other locations
Hindalco Industries,4.2,(3.5k),"Job Security, Work Life Balance, Skill Development / Learning",Metals & Mining | Sambalpur +118 other locations
Jindal Steel and Power,3.9,(3.5k),Skill Development / Learning,Iron & Steel | Angul +158 other locations
American Express,4.1,(3.4k),"Company Culture, Work Life Balance, Job Security",Financial Services | Gurgaon / Gurugram +50 other locations
Viatris,4.2,(3.4k),"Salary & Benefits, Job Security, Work Life Balance",Pharma | Hyderabad / Secunderabad +76 other locations
Subros,3.8,(3.4k),"Job Security, Skill Development / Learning, Company Culture",Auto Components | Noida +80 other locations
PVR Inox,3.9,(3.4k),Promotions / Appraisal,Media & Entertainment | New Delhi +148 other locations
Automatic Data Processing (ADP),4.0,(3.4k),"Job Security, Company Culture, Work Life Balance",Software Product | Hyderabad / Secunderabad +38 other locations
State Street Corporation,3.6,(3.4k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Financial Services | Bangalore / Bengaluru +31 other locations
RBL Bank,3.5,(3.4k),"Promotions / Appraisal, Company Culture, Work Satisfaction",Banking | Mumbai +258 other locations
Pidilite Industries,4.3,(3.4k),"Job Security, Company Culture, Work Life Balance",Chemicals | Mumbai +283 other locations
Alembic Pharmaceuticals,4.0,(3.4k),"Salary & Benefits, Work Life Balance",Pharma | Vadodara +174 other locations
Samvardhana Motherson Group,3.7,(3.3k),Job Security,Auto Components | Noida +87 other locations
Sodexo,4.1,(3.3k),"Work Life Balance, Company Culture, Skill Development / Learning",Facility Management Services | Mumbai +150 other locations
Godrej & Boyce Manufacturing,3.9,(3.3k),Job Security,Consumer Electronics & Appliances | Mumbai +146 other locations
Synechron,3.5,(3.3k),"Job Security, Promotions / Appraisal, Work Satisfaction",IT Services & Consulting | Pune +31 other locations
Maersk,4.1,(3.3k),"Work Life Balance, Company Culture, Work Satisfaction",Logistics | Pune +46 other locations
Abbott,4.1,(3.3k),"Salary & Benefits, Company Culture, Work Life Balance",Pharma | Mumbai +194 other locations
Kogta Financial India Limited,4.7,(3.3k),"Company Culture, Work Life Balance, Skill Development / Learning",NBFC | Jaipur +236 other locations
Bharat Electronics,4.2,(3.3k),"Work Life Balance, Company Culture, Work Satisfaction",Electronics Manufacturing | Bangalore / Bengaluru +80 other locations
Birlasoft,3.5,(3.3k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Pune +45 other locations
Dabur,3.9,(3.3k),"Salary & Benefits, Job Security",FMCG | New Delhi +297 other locations
Reliance Digital,4.1,(3.3k),"Skill Development / Learning, Job Security, Company Culture",Retail | Mumbai +357 other locations
Escorts Kubota Limited,4.1,(3.3k),"Work Life Balance, Skill Development / Learning, Company Culture",Automobile | Faridabad +143 other locations
Cogent E Services,3.2,(3.2k),"Company Culture, Work Satisfaction, Promotions / Appraisal",Noida +49 other locations
Aarti Industries,4.1,(3.2k),"Job Security, Work Life Balance, Company Culture",Agro Chemicals | Bharuch +54 other locations
Kyndryl,4.0,(3.2k),"Work Life Balance, Company Culture, Skill Development / Learning",IT Services & Consulting | Bangalore / Bengaluru +33 other locations
Indian Oil Corporation,4.4,(3.2k),"Company Culture, Work Life Balance, Work Satisfaction",Oil & Gas | New Delhi +292 other locations
PNB MetLife,3.4,(3.2k),"Company Culture, Work Satisfaction, Job Security",Insurance | New Delhi +382 other locations
Glenmark Pharmaceuticals,3.8,(3.2k),Promotions / Appraisal,Pharma | Mumbai +161 other locations
Kotak Mahindara Life Insurance,3.6,(3.2k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Insurance | Mumbai +236 other locations
Reliance Projects & Property Management Services,4.0,(3.2k),"Work Life Balance, Job Security, Skill Development / Learning",IT Services & Consulting | Kolkata +585 other locations
Ipca Laboratories,3.9,(3.2k),"Job Security, Work Life Balance, Company Culture",Pharma | Mumbai +149 other locations
"NTT DATA, Inc.",4.0,(3.2k),"Work Life Balance, Job Security, Company Culture",IT Services & Consulting | Bangalore / Bengaluru +31 other locations
Aditya Birla Sun Life Insurance,4.0,(3.2k),"Work Life Balance, Company Culture, Job Security",Insurance | Mumbai +451 other locations
Johnson Controls,3.6,(3.2k),"Promotions / Appraisal, Work Satisfaction, Job Security",Industrial Automation | Pune +53 other locations
Ford Motor,4.2,(3.1k),"Company Culture, Work Life Balance, Salary & Benefits",Automobile | Chennai +126 other locations
Grasim Industries,4.0,(3.1k),"Job Security, Skill Development / Learning, Company Culture",Building Material | Bharuch +209 other locations
JK Cement,4.0,(3.1k),"Salary & Benefits, Company Culture, Work Life Balance",Building Material | New Delhi +300 other locations
KPIT Technologies,3.2,(3.1k),"Promotions / Appraisal, Job Security, Work Satisfaction",Software Product | Pune +41 other locations
UBS,3.9,(3.1k),"Work Life Balance, Company Culture",Financial Services | Pune +19 other locations
Alkem Laboratories,3.9,(3.1k),Salary & Benefits,Pharma | Mumbai +181 other locations
MRF Tyres,3.6,(3.1k),"Company Culture, Work Satisfaction, Work Life Balance",Auto Components | Chennai +183 other locations
24/7 Customer,3.5,(3.1k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Software Product | Bangalore / Bengaluru +35 other locations
IGT Solutions,3.3,(3.1k),"Promotions / Appraisal, Salary & Benefits, Company Culture",IT Services & Consulting | New Delhi +48 other locations
Tata Capital,4.0,(3.1k),"Job Security, Skill Development / Learning, Salary & Benefits",NBFC | Mumbai +298 other locations
